SampleID,PCRp_conc ,Sample_type,environment,Genus,Species,Sex,Instar,Primary_ blood_meal,Diet,Country,State,Location,Nest,Sampling_date,Coordinates_North,Cooredinated_West
DS16i2D,60,Triatoma,No,Triatoma,rubida,ND,2,Neotoma,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS16i6A,51,Triatoma,No,Triatoma,rubida,F,6,ND,blood,US,AZ,DS,N16,07.07.2019,N32.25477,W111.08766
DS18i2A,47,Triatoma,No,Triatoma,rubida,ND,2,Neotoma,blood,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
LC4A,26,assassin,No,Reduvius,sp.,ND,5,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC4B,35,assassin,No,Reduvius,sp.,ND,3_4,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC4C,21,assassin,No,Reduvius,sp.,ND,3_4,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC5A,20,assassin,No,Reduvius,sp.,ND,3,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC5B,22,assassin,No,Reduvius,sp.,ND,3,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC5C,-1,assassin,No,Reduvius,sp.,ND,3,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC6A,19,assassin,No,Reduvius,sp.,ND,2,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC6B,29,assassin,No,Reduvius,sp.,ND,2,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC6C,28,assassin,No,Reduvius,sp.,ND,2,ND,hemolymph,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
NK1,51,negative,No,negativeControl,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NK11,2,negative,No,negativeControl,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NK2,6,negative,No,negativeControl,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NK3,4,negative,No,negativeControl,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NK,5,negative,No,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MCE1,75,positive,No,mockEqual,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MCS1,60,positive,No,mockStaggered,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PC1,63,positive,No,mockZimoST,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PC2,49,positive,No,mockZimoLog,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PC3,48,positive,No,mockZimoST,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
S1I5ASA,40,assassin,No,Zelus,longipes,ND,5,ND,hemolymph,US,GA,Sapelo island,L1,29.06.2021,N31.402070,W81.284266
S1I5ASB,52,assassin,No,Zelus,longipes,ND,5,ND,hemolymph,US,GA,Sapelo island,L1,29.06.2021,N31.402070,W81.284266
S1I5ASC,66,assassin,No,Zelus,longipes,ND,5,ND,hemolymph,US,GA,Sapelo island,L1,29.06.2021,N31.402070,W81.284266
S1I5ASD,16,assassin,No,Zelus,longipes,ND,5,ND,hemolymph,US,GA,Sapelo island,L1,29.06.2021,N31.402070,W81.284266
S1I5ASE,30,assassin,No,Zelus,longipes,ND,5,ND,hemolymph,US,GA,Sapelo island,L1,29.06.2021,N31.402070,W81.284266
S1I5ASF,22,assassin,No,Zelus,longipes,ND,5,ND,hemolymph,US,GA,Sapelo island,L1,29.06.2021,N31.402070,W81.284266
S1I5ASG,35,assassin,No,Zelus,longipes,ND,5,ND,hemolymph,US,GA,Sapelo island,L1,29.06.2021,N31.402070,W81.284266
TU10Ti1,29,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU10Ti11,23,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU10Ti12,15,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU10Ti2,25,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU10Ti3,27,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU10Ti4,26,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU10Ti6,18,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU10Ti8,22,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N13,12.07.2018,N32.252297,W111.08655
TU2Ti1,34,Tick,No,Ornithodoros,turicata,ND,5,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU2Ti2,28,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU2Ti3,35,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU2Ti4,58,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU2Ti5,40,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU2Ti6,31,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU2Ti7,20,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU2Ti8,29,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
DS18i2B,43,Triatoma,No,Triatoma,rubida,ND,2,Neotoma,blood,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS18M3B,47,Triatoma,No,Triatoma,rubida,ND,3_4,Neotoma,blood,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS18M3C,38,Triatoma,No,Triatoma,rubida,ND,3,ND,blood,US,AZ,DS,N18,07.07.2019,N32.25242,W111.08688
DS7I3E,24,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
DS7M17C,31,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N7d,02.07.2019,N32.25436,W111.08597
LC32i5A1,33,Triatoma,No,Triatoma,rubida,ND,5,ND,blood,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC33i2A3,40,Triatoma,No,Triatoma,rubida,ND,2,Episoriculus,blood,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC33i2B3,38,Triatoma,No,Triatoma,rubida,ND,2,Episoriculus,blood,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
LC33i2C3,45,Triatoma,No,Triatoma,rubida,ND,2,Episoriculus,blood,US,AZ,LCNCA,N5,06.07.2018,N31.76432,W110.62289
TU36i4A3,37,Triatoma,No,Triatoma,rubida,AZ,4,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU36i4B3,16,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU40i3A3,40,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU40i3B3,39,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU41i3A2,43,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU41i3B2,37,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N4,09.07.2018,N32.25675,W111.08752
TU47i4A3,11,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU48i4A1,22,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU50i3B3,30,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU51i2A2,33,Triatoma,No,Triatoma,rubida,ND,2,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU54i4A3,60,Triatoma,No,Triatoma,rubida,ND,4,Callospermophilus,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU55i4A1,58,Triatoma,No,Triatoma,rubida,ND,4,ND,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU55i4B1,31,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU55i4C1,33,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU55i4D1,16,Triatoma,No,Triatoma,rubida,ND,4,ND,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU56i3A3,53,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU56i3B3,28,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N7,10.07.2018,N32.25360,W111.0884
TU64i4A2,30,Triatoma,No,Triatoma,rubida,ND,4,Neotoma,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU65i3A2,13,Triatoma,No,Triatoma,rubida,ND,3,Neotoma,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU67i3A2,37,Triatoma,No,Triatoma,rubida,AZ,3,Neotoma,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU68i2A2,38,Triatoma,No,Triatoma,rubida,ND,2,Neotoma,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU68i2B2,25,Triatoma,No,Triatoma,rubida,ND,2,Neotoma,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU68i2C2,37,Triatoma,No,Triatoma,rubida,AZ,2,ND,blood,US,AZ,DS,N8,11.07.2018,N32.25219,W111.08791
TU5Ti1,49,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU5Ti2,40,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU5Ti3,31,Tick,No,Ornithodoros,turicata,ND,4,ND,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU5Ti4,42,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU5Ti5,41,Tick,No,Ornithodoros,turicata,ND,3,Neotoma,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU5Ti6,31,Tick,No,Ornithodoros,turicata,ND,3,ND,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
TU5Ti7,34,Tick,No,Ornithodoros,turicata,ND,2,ND,blood,US,AZ,DS,N6,10.07.2018,N32.25526,W111.08757
