OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_4643,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geomicrobium,Geomicrobium sp. JCM 19038
OTU_4644,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,ND,ND
OTU_4646,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,uncultured Thermomicrobia bacterium,ND
OTU_4647,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,bacterium QTYC46b,ND
OTU_4648,Bacteria,Gemmatimonadetes,S0134 terrestrial group,uncultured Gemmatimonadetes bacterium,ND,ND,ND
OTU_4649,Bacteria,Acidobacteria,Subgroup 17,uncultured Acidobacteria bacterium,ND,ND,ND
OTU_4650,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,metagenome,ND,ND
OTU_4651,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,Sorangium cellulosum
OTU_4652,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Chroococcidiopsaceae,uncultured,uncultured bacterium
OTU_4653,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaera,uncultured bacterium
OTU_4654,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured planctomycete
OTU_4655,Bacteria,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,uncultured,uncultured bacterium
OTU_4656,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,metagenome,ND
OTU_4657,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,metagenome,ND
OTU_4658,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Comamonas,uncultured bacterium
OTU_4659,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured bacterium
OTU_4660,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Hypsibius dujardini
OTU_4661,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium
OTU_4662,Bacteria,Planctomycetes,OM190,uncultured bacterium,ND,ND,ND
OTU_4664,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Sulfuricellaceae,Sulfurirhabdus,uncultured bacterium
OTU_4665,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
OTU_4666,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,D05-2,metagenome,ND
OTU_4667,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,metagenome
OTU_4668,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Sciscionella,Sciscionella sp. SE31
OTU_4669,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,uncultured bacterium
OTU_4670,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,uncultured,uncultured bacterium
OTU_4671,Bacteria,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,uncultured,uncultured bacterium
OTU_4672,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured bacterium,ND
OTU_4673,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Litorilinea,uncultured bacterium
OTU_4674,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,uncultured,uncultured planctomycete
OTU_4675,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,uncultured bacterium
OTU_4676,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,uncultured bacterium,ND
OTU_4677,Bacteria,Planctomycetes,Phycisphaerae,CCM11a,uncultured bacterium,ND,ND
OTU_4678,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,uncultured bacterium
OTU_4679,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,ND
OTU_4680,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Limnobacter,uncultured bacterium
OTU_4681,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured,uncultured bacterium
OTU_4682,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured,uncultured bacterium
OTU_4683,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured bacterium
OTU_4684,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Cryptosporangiaceae,Fodinicola,uncultured Fodinicola sp.
OTU_4685,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
OTU_4686,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,uncultured bacterium,ND,ND
OTU_4687,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,uncultured bacterium
OTU_4688,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured Legionellales bacterium
OTU_4689,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Uliginosibacterium,uncultured bacterium
OTU_4690,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum,Azospirillum sp. CDMB
OTU_4691,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,uncultured Cytophagales bacterium,ND
OTU_4692,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,uncultured bacterium,ND
OTU_4693,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Facklamia ignava CCUG 37419
OTU_4694,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,uncultured bacterium,ND
OTU_4695,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,uncultured bacterium,ND
OTU_4696,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella endosymbiont of Ornithodoros occidentalis
OTU_4697,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
OTU_4698,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus 1,Clostridiaceae bacterium 37-7-2Cl
OTU_4699,Bacteria,Chloroflexi,JG30-KF-CM66,uncultured bacterium,ND,ND,ND
OTU_4700,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,metagenome,ND
OTU_4702,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium
OTU_4703,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured Cytophagales bacterium,ND
OTU_4704,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,uncultured bacterium
OTU_4705,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured bacterium
OTU_4706,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium
OTU_4707,Bacteria,Acidobacteria,Subgroup 6,uncultured bacterium,ND,ND,ND
OTU_4708,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,rock porewater metagenome
OTU_4709,Bacteria,FBP,uncultured bacterium,ND,ND,ND,ND
OTU_4710,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured bacterium
OTU_4711,Bacteria,Elusimicrobia,Elusimicrobia,MVP-88,uncultured bacterium,ND,ND
OTU_4712,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,uncultured,uncultured bacterium
OTU_4713,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured bacterium,ND,ND
OTU_4714,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus Renichlamydia,uncultured Candidatus Rhabdochlamydia sp.
OTU_4715,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,uncultured bacterium
OTU_4716,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,uncultured bacterium
OTU_4717,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,uncultured Chlamydia sp.
OTU_4718,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus] torques group,uncultured bacterium
OTU_4719,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,uncultured bacterium
OTU_4720,ND,ND,ND,ND,ND,ND,ND
OTU_4721,Bacteria,Firmicutes,Bacilli,Bacillales,Family XI,Gemella,uncultured Gemella sp.
OTU_4722,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,uncultured bacterium
OTU_4723,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured proteobacterium,ND
OTU_4724,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome
OTU_4725,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,Family XIII AD3011 group,uncultured bacterium
OTU_4726,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,metagenome
OTU_4727,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured bacterium
OTU_4728,Bacteria,Cyanobacteria,Sericytochromatia,uncultured bacterium,ND,ND,ND
OTU_4729,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,ND,ND
OTU_4730,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium
